case_id,variant_id,variant_type,case_type,corpus_document_count,corpus_sha256,embedding_model,corpus_builder,generated_from_commit,reference_threshold,reference_threshold_source,reference_threshold_mode,experiment_scope_sha256,original_query,variant_query,top1_score,top1_doc_id,top1_slot,top1_entity,top5_doc_ids,top5_slots,top5_entities,expected_hit_at_5,above_reference_threshold,top1_changed_from_original,score_delta_from_original
positive_demo2_region_type_boundary,positive_demo2_region_type_boundary::01_original,original,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What is the boundary of region_type in Demo 2?,What is the boundary of region_type in Demo 2?,0.638906,retail_ops/data/demo2_source_notes.md:chunk:23,,,retail_ops/data/demo2_source_notes.md:chunk:23 | retail_ops/data/DATA_DICTIONARY.md:chunk:32 | retail_ops/data/DATA_DICTIONARY.md:chunk:33 | retail_ops/data/DATA_DICTIONARY.md:chunk:92 | retail_ops/data/DATA_DICTIONARY.md:chunk:482, |  |  |  | , |  |  |  | ,True,True,False,0.0
positive_store_b_visibility_entry,positive_store_b_visibility_entry::03_paraphrased,paraphrased,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store B's March 2026 visibility and search-entry profile show?,What does merchant store B's March 2026 visibility and search-entry profile summarize?,0.621689,generated_demo2_retail_memory_facts.json:0,visibility_entry_profile,store_B,generated_demo2_retail_memory_facts.json:0 | generated_retail_memory_facts.json:0 | generated_demo2_retail_memory_facts.json:5 | generated_demo2_retail_memory_facts.json:20 | generated_demo2_retail_memory_facts.json:10,visibility_entry_profile | visibility_entry_profile | visibility_entry_profile | visibility_entry_profile | visibility_entry_profile,store_B | store_A | store_C | store_F | store_D,True,True,False,0.009192
positive_store_b_visibility_entry,positive_store_b_visibility_entry::04_typo_punctuation_noise,typo_punctuation_noise,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store B's March 2026 visibility and search-entry profile show?,What does Store B's March 2026 visibility and search-entry profiel show? ??,0.624287,generated_demo2_retail_memory_facts.json:0,visibility_entry_profile,store_B,generated_demo2_retail_memory_facts.json:0 | generated_retail_memory_facts.json:0 | generated_demo2_retail_memory_facts.json:5 | generated_demo2_retail_memory_facts.json:20 | generated_demo2_retail_memory_facts.json:4,visibility_entry_profile | visibility_entry_profile | visibility_entry_profile | visibility_entry_profile | single_metric_attribution_guard,store_B | store_A | store_C | store_F | store_B,True,True,False,0.01179
positive_store_b_visibility_entry,positive_store_b_visibility_entry::05_keyword_order_changed,keyword_order_changed,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store B's March 2026 visibility and search-entry profile show?,2026 visibility and search-entry profile show? What does Store B's March,0.610125,generated_demo2_retail_memory_facts.json:0,visibility_entry_profile,store_B,generated_demo2_retail_memory_facts.json:0 | generated_retail_memory_facts.json:0 | generated_demo2_retail_memory_facts.json:20 | generated_demo2_retail_memory_facts.json:5 | generated_demo2_retail_memory_facts.json:10,visibility_entry_profile | visibility_entry_profile | visibility_entry_profile | visibility_entry_profile | visibility_entry_profile,store_B | store_A | store_F | store_C | store_D,True,True,False,-0.002372
positive_store_c_top_sku_note,positive_store_c_top_sku_note::01_original,original,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store C's top3_sku_transaction_amount_share_pct mean?,What does Store C's top3_sku_transaction_amount_share_pct mean?,0.744657,retail_ops/data/DATA_DICTIONARY.md:chunk:333,,,retail_ops/data/DATA_DICTIONARY.md:chunk:333 | retail_ops/data/DATA_DICTIONARY.md:L264 | retail_ops/data/DATA_DICTIONARY.md:chunk:329 | generated_demo2_retail_memory_facts.json:9 | generated_demo2_retail_memory_facts.json:8, | top3_sku_amount_concentration |  | single_metric_attribution_guard | top3_sku_product_mix_note, |  |  | store_C | store_C,True,True,False,0.0
positive_store_c_top_sku_note,positive_store_c_top_sku_note::02_paraphrased,paraphrased,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store C's top3_sku_transaction_amount_share_pct mean?,What does merchant store C's top3_sku_transaction_amount_share_pct mean?,0.76811,retail_ops/data/DATA_DICTIONARY.md:chunk:333,,,retail_ops/data/DATA_DICTIONARY.md:chunk:333 | retail_ops/data/DATA_DICTIONARY.md:L264 | retail_ops/data/DATA_DICTIONARY.md:chunk:329 | generated_demo2_retail_memory_facts.json:8 | retail_ops/data/DATA_DICTIONARY.md:chunk:248, | top3_sku_amount_concentration |  | top3_sku_product_mix_note | , |  |  | store_C | ,True,True,False,0.023453
positive_store_c_top_sku_note,positive_store_c_top_sku_note::03_typo_punctuation_noise,typo_punctuation_noise,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store C's top3_sku_transaction_amount_share_pct mean?,What does Store C's top3_sku_transaction_amount_share_cpt mean? ??,0.745092,retail_ops/data/DATA_DICTIONARY.md:chunk:333,,,retail_ops/data/DATA_DICTIONARY.md:chunk:333 | retail_ops/data/DATA_DICTIONARY.md:L264 | retail_ops/data/DATA_DICTIONARY.md:chunk:329 | retail_ops/data/DATA_DICTIONARY.md:chunk:248 | generated_demo2_retail_memory_facts.json:9, | top3_sku_amount_concentration |  |  | single_metric_attribution_guard, |  |  |  | store_C,False,True,False,0.000435
positive_store_c_top_sku_note,positive_store_c_top_sku_note::04_keyword_order_changed,keyword_order_changed,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store C's top3_sku_transaction_amount_share_pct mean?,C's top3_sku_transaction_amount_share_pct mean? What does Store,0.722855,retail_ops/data/DATA_DICTIONARY.md:chunk:333,,,retail_ops/data/DATA_DICTIONARY.md:chunk:333 | retail_ops/data/DATA_DICTIONARY.md:L264 | retail_ops/data/DATA_DICTIONARY.md:chunk:329 | retail_ops/data/DATA_DICTIONARY.md:chunk:248 | generated_demo2_retail_memory_facts.json:9, | top3_sku_amount_concentration |  |  | single_metric_attribution_guard, |  |  |  | store_C,False,True,False,-0.021802
positive_store_d_activity_profile,positive_store_d_activity_profile::01_original,original,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store D's activity_lever_profile say?,What does Store D's activity_lever_profile say?,0.694039,retail_ops/data/DATA_DICTIONARY.md:chunk:353,,,retail_ops/data/DATA_DICTIONARY.md:chunk:353 | retail_ops/data/DATA_DICTIONARY.md:L361 | generated_retail_memory_facts.json:1 | generated_demo2_retail_memory_facts.json:11 | generated_demo2_retail_memory_facts.json:14, | activity_lever_profile | activity_lever_profile | activity_lever_profile | single_metric_attribution_guard, |  | store_A | store_D | store_D,True,True,False,0.0
positive_store_d_activity_profile,positive_store_d_activity_profile::02_paraphrased,paraphrased,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store D's activity_lever_profile say?,What does merchant store D's activity_lever_profile say?,0.71899,retail_ops/data/DATA_DICTIONARY.md:chunk:353,,,retail_ops/data/DATA_DICTIONARY.md:chunk:353 | retail_ops/data/DATA_DICTIONARY.md:L361 | generated_retail_memory_facts.json:1 | generated_demo2_retail_memory_facts.json:11 | generated_demo2_retail_memory_facts.json:14, | activity_lever_profile | activity_lever_profile | activity_lever_profile | single_metric_attribution_guard, |  | store_A | store_D | store_D,True,True,False,0.024951
positive_store_d_activity_profile,positive_store_d_activity_profile::03_typo_punctuation_noise,typo_punctuation_noise,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store D's activity_lever_profile say?,What does Store D's activity_lever_proifle say? ??,0.683945,retail_ops/data/DATA_DICTIONARY.md:chunk:353,,,retail_ops/data/DATA_DICTIONARY.md:chunk:353 | retail_ops/data/DATA_DICTIONARY.md:L361 | generated_retail_memory_facts.json:1 | retail_ops/data/DATA_DICTIONARY.md:chunk:375 | retail_ops/data/DATA_DICTIONARY.md:chunk:377, | activity_lever_profile | activity_lever_profile |  | , |  | store_A |  | ,False,True,False,-0.010094
positive_store_d_activity_profile,positive_store_d_activity_profile::04_keyword_order_changed,keyword_order_changed,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store D's activity_lever_profile say?,D's activity_lever_profile say? What does Store,0.664523,retail_ops/data/DATA_DICTIONARY.md:chunk:353,,,retail_ops/data/DATA_DICTIONARY.md:chunk:353 | retail_ops/data/DATA_DICTIONARY.md:L361 | generated_retail_memory_facts.json:1 | retail_ops/data/DATA_DICTIONARY.md:chunk:377 | retail_ops/data/DATA_DICTIONARY.md:chunk:134, | activity_lever_profile | activity_lever_profile |  | , |  | store_A |  | ,False,True,False,-0.029516
positive_store_e_single_metric_guard,positive_store_e_single_metric_guard::01_original,original,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store E's single_metric_attribution_guard say?,What does Store E's single_metric_attribution_guard say?,0.659841,retail_ops/data/DATA_DICTIONARY.md:L363,single_metric_attribution_guard,,retail_ops/data/DATA_DICTIONARY.md:L363 | generated_demo2_retail_memory_facts.json:19 | generated_retail_memory_facts.json:3 | retail_ops/data/DATA_DICTIONARY.md:chunk:397 | retail_ops/data/DATA_DICTIONARY.md:chunk:197,single_metric_attribution_guard | single_metric_attribution_guard | single_metric_attribution_guard |  | , | store_E | store_A |  | ,True,True,False,0.0
positive_store_e_single_metric_guard,positive_store_e_single_metric_guard::02_paraphrased,paraphrased,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store E's single_metric_attribution_guard say?,What does merchant store E's single_metric_attribution_guard say?,0.659807,retail_ops/data/DATA_DICTIONARY.md:L363,single_metric_attribution_guard,,retail_ops/data/DATA_DICTIONARY.md:L363 | generated_demo2_retail_memory_facts.json:19 | generated_retail_memory_facts.json:3 | retail_ops/data/DATA_DICTIONARY.md:chunk:457 | retail_ops/data/DATA_DICTIONARY.md:chunk:197,single_metric_attribution_guard | single_metric_attribution_guard | single_metric_attribution_guard |  | , | store_E | store_A |  | ,True,True,False,-3.4e-05
positive_store_e_single_metric_guard,positive_store_e_single_metric_guard::03_typo_punctuation_noise,typo_punctuation_noise,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store E's single_metric_attribution_guard say?,What does Store E's single_metrci_attribution_guard say? ??,0.616482,retail_ops/data/DATA_DICTIONARY.md:L363,single_metric_attribution_guard,,retail_ops/data/DATA_DICTIONARY.md:L363 | generated_demo2_retail_memory_facts.json:19 | retail_ops/data/DATA_DICTIONARY.md:chunk:93 | retail_ops/data/DATA_DICTIONARY.md:chunk:109 | retail_ops/data/DATA_DICTIONARY.md:chunk:435,single_metric_attribution_guard | single_metric_attribution_guard |  |  | , | store_E |  |  | ,True,True,False,-0.043359
positive_store_e_single_metric_guard,positive_store_e_single_metric_guard::04_keyword_order_changed,keyword_order_changed,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,What does Store E's single_metric_attribution_guard say?,E's single_metric_attribution_guard say? What does Store,0.651944,retail_ops/data/DATA_DICTIONARY.md:L363,single_metric_attribution_guard,,retail_ops/data/DATA_DICTIONARY.md:L363 | generated_demo2_retail_memory_facts.json:19 | generated_retail_memory_facts.json:3 | retail_ops/data/DATA_DICTIONARY.md:chunk:397 | generated_demo2_retail_memory_facts.json:9,single_metric_attribution_guard | single_metric_attribution_guard | single_metric_attribution_guard |  | single_metric_attribution_guard, | store_E | store_A |  | store_C,True,True,False,-0.007897
